gender_gt,income_gt,education_gt,gender_pred,income_pred,education_pred,MSE_Loss
0,0,0,0.0,0.0,0.0,0.051783983
0,0,1,0.0,0.0,0.0,0.03467778
0,0,1,0.0,0.0,0.0,0.020460181
1,1,1,0.0,0.0,0.0,0.011343859
0,0,0,0.0,0.0,0.0,0.016755376
1,0,1,0.0,0.0,0.0,0.0061194883
0,0,1,0.0,0.0,0.0,0.10288025
1,0,1,0.0,0.0,0.0,0.032757737
0,1,1,0.0,0.0,0.0,0.009703102
1,0,0,0.0,0.0,0.0,0.00022219248
1,1,0,0.0,0.0,0.0,0.0002004241
1,1,1,0.0,0.0,0.0,0.10567974
1,1,0,0.0,0.0,0.0,0.004137565
1,1,0,0.0,0.0,0.0,0.102380574
1,1,1,0.0,0.0,0.0,0.019837856
1,1,0,0.0,0.0,0.0,0.011245826
1,1,1,0.0,0.0,0.0,0.0778983
1,1,1,0.0,0.0,0.0,0.070515424
1,0,1,0.0,0.0,0.0,0.0021328237
1,1,0,0.0,0.0,0.0,0.043119326
0,1,1,0.0,0.0,0.0,0.080565475
0,1,1,0.0,0.0,0.0,0.12674232
0,1,1,0.0,0.0,0.0,0.010118568
0,1,0,0.0,0.0,0.0,0.040096298
1,1,0,0.0,0.0,0.0,0.044854503
1,0,1,0.0,0.0,0.0,0.032457504
1,0,1,0.0,0.0,0.0,0.16095755
0,0,0,0.0,0.0,0.0,0.04314857
1,1,1,0.0,0.0,0.0,0.02127788
0,1,0,0.0,0.0,0.0,0.032908276
1,1,1,0.0,0.0,0.0,0.009056867
1,1,0,0.0,0.0,0.0,0.076482214
1,1,0,0.0,0.0,0.0,0.027676886
0,1,0,0.0,0.0,0.0,0.07211022
1,0,0,0.0,0.0,0.0,0.008665457
1,0,1,0.0,0.0,0.0,0.039883442
1,0,1,0.0,0.0,0.0,0.007883337
0,0,1,0.0,0.0,0.0,0.14678973
0,1,0,0.0,0.0,0.0,0.06445886
1,0,1,0.0,0.0,0.0,0.042905115
1,1,1,0.0,0.0,0.0,0.08337726
1,0,1,0.0,0.0,0.0,0.042023424
1,0,1,0.0,0.0,0.0,0.028119404
1,1,1,0.0,0.0,0.0,0.03500529
0,1,0,0.0,0.0,0.0,0.00019142995
0,1,1,0.0,0.0,0.0,0.018826647
1,0,1,0.0,0.0,0.0,0.14468014
